id,name,price_krw,price_thb,package_discount_10,description
p1,"슈링크 리프팅 (300샷)",99000,2900,0.1,"피부 탄력과 V라인 리프팅에 효과적인 시술입니다. 붓기나 멍이 거의 없어 바로 일상생활이 가능합니다."
p2,"인모드 리프팅 (FX+FORMA)",180000,4900,0.1,"불필요한 지방을 제거하고 콜라겐 생성을 촉진하여 강력한 이중턱 개선 및 리프팅 효과를 줍니다."
p3,"필러 (국산, 1cc)",165000,4500,0.15,"볼륨이 부족한 부위(이마, 코, 입술, 턱)를 자연스럽게 채워주는 시술입니다."
p4,"보톡스 (사각턱)",70000,1900,0.1,"발달된 턱 근육을 축소하여 갸름한 얼굴 라인을 만들어 줍니다."
p5,"눈꺼풀 수술 (비절개)",1200000,33000,0.05,"자연스러운 쌍꺼풀 라인을 만들어 또렷한 눈매를 완성합니다."
p6,"코 성형 (기본)",3500000,98000,0.05,"콧대와 코끝을 높여 얼굴의 입체감을 살려주는 수술입니다."
p7,"지방이식 (얼굴 전체)",2500000,70000,0.1,"자가 지방을 이식하여 얼굴에 자연스러운 볼륨감과 생기를 더해줍니다."
p8,"레이저 토닝 (1회)",80000,2200,0.1,"기미, 주근깨 등 색소 침착을 개선하여 맑고 균일한 피부톤을 만들어줍니다."
p9,"여드름 압출 및 관리 (1회)",60000,1700,0.1,"전문적인 압출과 진정 관리로 트러블을 케어하고 흉터를 예방합니다."
p10,"리쥬란 힐러 (2cc)",250000,7000,0.1,"피부 속 콜라겐을 재생시켜 피부결과 탄력을 근본적으로 개선합니다."
p11,"울쎄라 리프팅 (300샷)",800000,22500,0.1,"초음파 에너지를 이용해 피부 깊은 곳부터 끌어올리는 강력한 리프팅 시술입니다."
p12,"실 리프팅 (기본)",900000,25000,0.1,"의료용 실을 이용해 처진 피부를 당겨 즉각적인 리프팅 효과를 줍니다."
p13,"입술 필러 (국산, 1cc)",180000,5000,0.15,"도톰하고 매력적인 입술 라인을 만들어 인상을 개선합니다."
p14,"앞트임/뒤트임",800000,22500,0.05,"눈의 가로 길이를 확장하여 더 시원하고 큰 눈매를 만들어줍니다."
p15,"안면 거상술",7000000,195000,0.05,"전체적인 얼굴 주름과 처짐을 개선하는 가장 확실한 리프팅 수술입니다."
p16,"이마 필러 (국산, 3cc)",450000,12500,0.15,"밋밋한 이마에 자연스러운 볼륨을 주어 입체적인 얼굴 라인을 만듭니다."
p17,"주름 보톡스 (미간/눈가)",40000,1100,0.1,"표정 주름을 완화하여 더 젊고 부드러운 인상을 줍니다."
p18,"피코 토닝 (1회)",120000,3300,0.1,"기존 레이저 토닝보다 더 빠르고 효과적으로 색소를 파괴하여 피부를 개선합니다."
p19,"가슴 확대 (모티바)",9000000,250000,0.05,"자연스러운 모양과 촉감의 보형물을 사용하여 만족도 높은 볼륨감을 만듭니다."
p20,"지방 흡입 (복부 전체)",2800000,78000,0.05,"안전하고 효과적으로 복부 지방을 제거하여 슬림한 바디 라인을 만듭니다."
p_21,"쥬베룩스킨",110000,,,""
p_22,"쥬베룩볼륨",110000,,,""
p_23,"물광주사",150000,,,""
p_24,"리쥬란",190000,,,""
p_25,"리쥬란 I",210000,,,""
p_26,"리쥬란 HB",270000,,,""
p_27,"윤곽주사",60000,,,""
p_28,"민트실",55000,,,""
p_29,"옥토트위스트",150000,,,""
p_30,"코프팅",200000,,,""
p_31,"민트이지",200000,,,""
p_32,"민트모노",450000,,,""
p_33,"실루엣소프트",450000,,,""
p_34,"사각턱 / 자갈턱 / 침샘 보톡스",50000,,,""
p_35,"미간 / 눈가 / 이마 보톡스",70000,,,""
p_36,"입꼬리 보톡스",11000,,,""
p_37,"종아리 / 승모근 보톡스",30000,,,""
p_38,"스킨보톡스",110000,,,""
p_39,"입술 + 입꼬리 필러",80000,,,""
p_40,"팔자 / 턱끝 / 콧대",100000,,,""
p_41,"이마 필러",40000,,,""
p_42,"필러 녹이기",70000,,,""
p_43,"슈링크",60000,,,""
p_44,"국소마취",110000,,,""
p_45,"수면마취",220000,,,""
p_46,"고압산소치료",65000,,,""
p_47,"얼굴전체",44000,,,""
p_48,"팔뚝",88000,,,""
p_49,"부유방",88000,,,""
p_50,"윗등",88000,,,""
p_51,"아랫등",88000,,,""
p_52,"옆구리",88000,,,""
p_53,"뒷구리",88000,,,""
p_54,"윗배",88000,,,""
p_55,"아랫배",88000,,,""
p_56,"러브핸들",88000,,,""
p_57,"종아리",88000,,,""
p_58,"무릎안",45000,,,""
p_59,"허벅지",140000,,,""
p_60,"얼굴전체+슈링크",154000,,,""
p_61,"옆구리+슈링크",198000,,,""
p_62,"종아리+슈링크",198000,,,""
p_63,"무릎안+슈링크",155000,,,""
p_64,"허벅지+슈링크",250000,,,""
p_65,"얼굴전체+슈링크+스킨보톡스",254000,,,""
p_66,"옆구리+슈링크+스킨보톡스",298000,,,""
p_67,"종아리+슈링크+스킨보톡스",298000,,,""
p_68,"무릎안+슈링크+스킨보톡스",255000,,,""
p_69,"허벅지+슈링크+스킨보톡스",350000,,,""
p_80,"NI / 매몰",1108060,,,""
p_82,"DI / 절개",16012090,,,""
p_84,"트임 한부위",15010080,,,""
p_86,"눈밑지방재배치",16012090,,,""
p_89,"양악+앞턱SE+이중턱",33502600,,,""
p_90,"양악+앞턱+광대+이중턱",33502600,,,""
p_91,"양악+앞턱SE+광대+이중턱",37002860,,,""
p_92,"양악+앞턱+광대SE+이중턱",37002860,,,""
p_93,"양악+앞턱+광대SEtriple+이중턱",38502970,,,""
p_94,"양악+앞턱SE+광대SE+이중턱",40003080,,,""
p_96,"양악SE+전체핀제거",325250,,,""
p_98,"양악시 광대 triple",143110,,,""
p_99,"양악시 광대",143110,,,""
p_100,"양악시 광대 triple시",286220,,,""
p_109,"지이",1008060,,,""
p_110,"심부볼 지흡",16012090,,,""
p_111,"볼 지흡",1259070,,,""
p_112,"보조개 한쪽",1208855,,,""
p_113,"보조개 양쪽",24017077,,,""
